ID,Tipo,SKU,Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto","¿En inventario?",Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Ancho (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición,"Meta: slide_template","Meta: _advanced-qty-min","Meta: _advanced-qty-step","Meta: _advanced-qty-value","Meta: _advanced-qty-price-suffix","Meta: _advanced-qty-quantity-suffix","Meta: _advanced-qty-input-picker","Meta: ts_prod_layout","Meta: ts_prod_left_sidebar","Meta: ts_prod_right_sidebar","Meta: ts_prod_custom_tab","Meta: ts_prod_custom_tab_title","Meta: ts_prod_custom_tab_content","Meta: ts_bg_breadcrumbs","Meta: ts_prod_video_url"
127,simple,100371,"CH POLLO S/M B5",1,0,visible,"<h4><strong>Pollo Entero sin menudencia x 1.5 Kg</strong></h4>",,,,taxable,,1,,,0,0,1,,,,0,,,6.80,ENTERO,,,https://xpress.chimuagropecuaria.com.pe/wp-content/uploads/2019/10/pollo.jpg,,,,,,,,,0,default,1.50,1.50,1.50,"x kg",kg,global-input,0,0,0,0,,,,
128,simple,100372,"CH POLLO S/M B6",1,0,visible,"<h4><strong>Pollo Entero sin menudencia x 1.6 Kg</strong></h4>",,,,taxable,,1,,,0,0,1,,,,0,,,6.80,ENTERO,,,https://xpress.chimuagropecuaria.com.pe/wp-content/uploads/2019/10/pollo.jpg,,,,,,,,,0,default,1.60,1.60,1.60,"x kg",kg,global-input,0,0,0,0,,,,
129,simple,100373,"CH POLLO S/M B7",1,0,visible,"<h4><strong>Pollo Entero sin menudencia x 1.7 Kg</strong></h4>",,,,taxable,,1,,,0,0,1,,,,0,,,6.80,ENTERO,,,https://xpress.chimuagropecuaria.com.pe/wp-content/uploads/2019/10/pollo.jpg,,,,,,,,,0,default,1.70,1.70,1.70,"x kg",kg,global-input,0,0,0,0,,,,
130,simple,100374,"CH POLLO S/M B8",1,0,visible,"<h4><strong>Pollo Entero sin menudencia x 1.8 Kg</strong></h4>",,,,taxable,,1,,,0,0,1,,,,0,,,6.80,ENTERO,,,https://xpress.chimuagropecuaria.com.pe/wp-content/uploads/2019/10/pollo.jpg,,,,,,,,,0,default,1.80,1.80,1.80,"x kg",kg,global-input,0,0,0,0,,,,
131,simple,100375,"CH POLLO S/M B9",1,0,visible,"<h4><strong>Pollo Entero sin menudencia x 1.9 Kg</strong></h4>",,,,taxable,,1,,,0,0,1,,,,0,,,6.80,ENTERO,,,https://xpress.chimuagropecuaria.com.pe/wp-content/uploads/2019/10/pollo.jpg,,,,,,,,,0,default,1.90,1.90,1.90,"x kg",kg,global-input,0,0,0,0,,,,
138,simple,100403,"CH POLLO MERCADO C/M EMB",1,0,visible,"<h4><strong>Pollo Mercado Entero con menudencia : Peso Aprox 2kg a 2.3kg</strong></h4>",,,,taxable,,1,,,0,0,1,,,,0,,,5.80,ENTERO,,,https://xpress.chimuagropecuaria.com.pe/wp-content/uploads/2019/10/pollo_embolsado_sin_menudencia.jpg,,,,,,,,,0,default,2.3,2.3,2.3,"x kg",kg,global-input,0,0,0,0,,,,
139,simple,100404,"CH POLLO MERCADO S/M EMB",1,0,visible,"<h4><strong>Pollo Mercado Entero sin menudencia : Peso Aprox 2kg a 2.3kg</strong></h4>",,,,taxable,,1,,,0,0,1,,,,0,,,6.10,ENTERO,,,https://xpress.chimuagropecuaria.com.pe/wp-content/uploads/2019/10/pollo_embolsado_con_menudencia.jpg,,,,,,,,,0,default,2.3,2.3,2.3,"x kg",kg,global-input,0,0,0,0,,,,
140,simple,100253,"CH POLLO PECHUGA CON HUESO",1,0,visible,"<h4><strong>Pechuga con Hueso x 1 Kg</strong></h4>",,,,taxable,,1,,,0,0,1,,,,0,,,7.50,CORTES,,,https://xpress.chimuagropecuaria.com.pe/wp-content/uploads/2019/10/pechuga_con_hueso.jpg,,,,,,,,,0,default,1,1,1,"x kg",kg,global-input,0,0,0,0,,,,
142,simple,100255,"CH POLLO PIERNA CON ENCUENTRO",1,0,visible,"<h4><strong>Pierna de Pollo con encuentro x 1 Kg</strong></h4>",,,,taxable,,1,,,0,0,1,,,,0,,,6.50,CORTES,,,https://xpress.chimuagropecuaria.com.pe/wp-content/uploads/2019/10/pierna_con_encuentro.jpg,,,,,,,,,0,default,1,1,1,"x kg",kg,global-input,0,0,0,0,,,,
143,simple,100257,"CH POLLO PIERNITAS",1,0,visible,"<h4><strong>Piernitas de Pollo x 1 Kg</strong></h4>",,,,taxable,,1,,,0,0,1,,,,0,,,7.0,CORTES,,,https://xpress.chimuagropecuaria.com.pe/wp-content/uploads/2019/10/piernas2.jpg,,,,,,,,,0,default,1,1,1,"x kg",kg,global-input,0,0,0,0,,,,
